Epoch 9 - 1.4574 | Accuracy: 52.34% | Time: 223.81604194641113
100%|██████████| 2744/2744 [03:43<00:00, 12.26it/s]
Epoch 10 - 1.4530 | Accuracy: 52.46% | Time: 223.85280752182007
100%|██████████| 2744/2744 [03:44<00:00, 12.24it/s]
Epoch 11 - 1.4490 | Accuracy: 52.57% | Time: 224.1455385684967
100%|██████████| 2744/2744 [03:43<00:00, 12.26it/s]
Epoch 12 - 1.4453 | Accuracy: 52.64% | Time: 223.872878074646
100%|██████████| 2744/2744 [03:43<00:00, 12.25it/s] 
Epoch 13 - 1.4413 | Accuracy: 52.77% | Time: 223.9711172580719
100%|██████████| 2744/2744 [03:44<00:00, 12.25it/s]
Epoch 14 - 1.4377 | Accuracy: 52.87% | Time: 224.0687985420227
100%|██████████| 2744/2744 [03:43<00:00, 12.26it/s]
Epoch 15 - 1.4343 | Accuracy: 52.93% | Time: 223.81940007209778
100%|██████████| 2744/2744 [03:43<00:00, 12.25it/s] 
Epoch 16 - 1.4312 | Accuracy: 53.04% | Time: 223.97946333885193
100%|██████████| 2744/2744 [03:43<00:00, 12.27it/s]
Epoch 17 - 1.4277 | Accuracy: 53.12% | Time: 223.65896201133728
100%|██████████| 2744/2744 [03:43<00:00, 12.27it/s]
Epoch 18 - 1.4250 | Accuracy: 53.19% | Time: 223.61775946617126
100%|██████████| 2744/2744 [03:43<00:00, 12.27it/s] 
Epoch 19 - 1.4216 | Accuracy: 53.31% | Time: 223.72099041938782
100%|██████████| 2744/2744 [03:44<00:00, 12.25it/s]
Epoch 20 - 1.4192 | Accuracy: 53.35% | Time: 224.0343108177185
100%|██████████| 2744/2744 [03:43<00:00, 12.26it/s]
Epoch 21 - 1.4160 | Accuracy: 53.41% | Time: 223.76253604888916
100%|██████████| 2744/2744 [03:43<00:00, 12.26it/s]
Epoch 22 - 1.4137 | Accuracy: 53.51% | Time: 223.74419045448303
100%|██████████| 2744/2744 [03:44<00:00, 12.24it/s]
Epoch 23 - 1.4107 | Accuracy: 53.58% | Time: 224.11111402511597
100%|██████████| 2744/2744 [03:43<00:00, 12.27it/s]
Epoch 24 - 1.4083 | Accuracy: 53.62% | Time: 223.70377802848816
100%|██████████| 2744/2744 [03:43<00:00, 12.26it/s]
Epoch 25 - 1.4058 | Accuracy: 53.70% | Time: 223.761785030365
100%|██████████| 2744/2744 [03:41<00:00, 12.38it/s]
Epoch 26 - 1.4032 | Accuracy: 53.77% | Time: 221.59964752197266
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s]
Epoch 27 - 1.4008 | Accuracy: 53.83% | Time: 221.45677256584167
100%|██████████| 2744/2744 [03:41<00:00, 12.38it/s]
Epoch 28 - 1.3985 | Accuracy: 53.92% | Time: 221.63443303108215
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s]
Epoch 29 - 1.3967 | Accuracy: 53.94% | Time: 221.54545307159424
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s]
Epoch 30 - 1.3941 | Accuracy: 54.01% | Time: 221.3382499217987
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s]
Epoch 31 - 1.3923 | Accuracy: 54.05% | Time: 221.44609475135803
100%|██████████| 2744/2744 [03:41<00:00, 12.37it/s]
Epoch 32 - 1.3902 | Accuracy: 54.12% | Time: 221.80693459510803
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 33 - 1.3882 | Accuracy: 54.17% | Time: 221.52601075172424
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 34 - 1.3859 | Accuracy: 54.23% | Time: 220.9802758693695
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 35 - 1.3839 | Accuracy: 54.28% | Time: 221.4046139717102
100%|██████████| 2744/2744 [03:41<00:00, 12.37it/s] 
Epoch 36 - 1.3824 | Accuracy: 54.31% | Time: 221.75119352340698
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 37 - 1.3804 | Accuracy: 54.39% | Time: 221.03418636322021
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 38 - 1.3786 | Accuracy: 54.41% | Time: 221.15270733833313
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 39 - 1.3764 | Accuracy: 54.47% | Time: 221.41660928726196
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 40 - 1.3750 | Accuracy: 54.54% | Time: 221.09187746047974
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 41 - 1.3732 | Accuracy: 54.58% | Time: 221.40109872817993
100%|██████████| 2744/2744 [03:41<00:00, 12.38it/s] 
Epoch 42 - 1.3720 | Accuracy: 54.60% | Time: 221.5828766822815
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 43 - 1.3704 | Accuracy: 54.63% | Time: 221.21905136108398
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 44 - 1.3683 | Accuracy: 54.68% | Time: 221.43519020080566
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 45 - 1.3675 | Accuracy: 54.75% | Time: 221.51767992973328
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 46 - 1.3655 | Accuracy: 54.80% | Time: 221.2453155517578
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 47 - 1.3642 | Accuracy: 54.80% | Time: 221.4122667312622
100%|██████████| 2744/2744 [03:41<00:00, 12.37it/s] 
Epoch 48 - 1.3627 | Accuracy: 54.86% | Time: 221.86811113357544
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 49 - 1.3610 | Accuracy: 54.91% | Time: 221.53465366363525
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 50 - 1.3598 | Accuracy: 54.94% | Time: 221.5258936882019
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 51 - 1.3583 | Accuracy: 54.98% | Time: 221.55766010284424
100%|██████████| 2744/2744 [03:41<00:00, 12.38it/s] 
Epoch 52 - 1.3573 | Accuracy: 54.98% | Time: 221.73397517204285
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 53 - 1.3555 | Accuracy: 55.03% | Time: 221.41699314117432
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 54 - 1.3543 | Accuracy: 55.07% | Time: 221.52252745628357
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 55 - 1.3532 | Accuracy: 55.09% | Time: 221.34529995918274
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 56 - 1.3521 | Accuracy: 55.13% | Time: 221.426043510437
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 57 - 1.3504 | Accuracy: 55.19% | Time: 221.28192734718323
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 58 - 1.3495 | Accuracy: 55.19% | Time: 221.3320062160492
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 59 - 1.3481 | Accuracy: 55.25% | Time: 221.47092604637146
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 60 - 1.3470 | Accuracy: 55.29% | Time: 221.28486490249634
100%|██████████| 2744/2744 [03:41<00:00, 12.42it/s] 
Epoch 61 - 1.3456 | Accuracy: 55.33% | Time: 221.0172290802002
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 62 - 1.3448 | Accuracy: 55.34% | Time: 221.28021907806396
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 63 - 1.3435 | Accuracy: 55.35% | Time: 221.44171500205994
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 64 - 1.3423 | Accuracy: 55.43% | Time: 221.08451962471008
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 65 - 1.3413 | Accuracy: 55.43% | Time: 221.20680689811707
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 66 - 1.3405 | Accuracy: 55.47% | Time: 221.4134681224823
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 67 - 1.3390 | Accuracy: 55.49% | Time: 221.2620723247528
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 68 - 1.3384 | Accuracy: 55.53% | Time: 220.89212250709534
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 69 - 1.3373 | Accuracy: 55.53% | Time: 221.1697256565094
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 70 - 1.3363 | Accuracy: 55.57% | Time: 221.46353960037231
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 71 - 1.3353 | Accuracy: 55.59% | Time: 221.26050281524658
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 72 - 1.3344 | Accuracy: 55.63% | Time: 221.18033838272095
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 73 - 1.3333 | Accuracy: 55.66% | Time: 220.86745953559875
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 74 - 1.3324 | Accuracy: 55.67% | Time: 221.3142445087433
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 75 - 1.3317 | Accuracy: 55.70% | Time: 221.17776918411255
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 76 - 1.3306 | Accuracy: 55.73% | Time: 221.41621041297913
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 77 - 1.3296 | Accuracy: 55.75% | Time: 221.09048438072205
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 78 - 1.3287 | Accuracy: 55.76% | Time: 221.0482051372528
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 79 - 1.3277 | Accuracy: 55.79% | Time: 221.0294599533081
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 80 - 1.3269 | Accuracy: 55.84% | Time: 221.55922675132751
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 81 - 1.3263 | Accuracy: 55.84% | Time: 221.12894201278687
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 82 - 1.3255 | Accuracy: 55.87% | Time: 221.4976634979248
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 83 - 1.3243 | Accuracy: 55.89% | Time: 220.88272166252136
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 84 - 1.3238 | Accuracy: 55.91% | Time: 221.28628492355347
100%|██████████| 2744/2744 [03:41<00:00, 12.38it/s] 
Epoch 85 - 1.3230 | Accuracy: 55.91% | Time: 221.73495507240295
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 86 - 1.3224 | Accuracy: 55.95% | Time: 221.17509174346924
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 87 - 1.3213 | Accuracy: 55.97% | Time: 221.08336210250854
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 88 - 1.3202 | Accuracy: 56.01% | Time: 221.1987144947052
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 89 - 1.3199 | Accuracy: 56.02% | Time: 221.06498622894287
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 90 - 1.3192 | Accuracy: 56.03% | Time: 221.1177544593811
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 91 - 1.3183 | Accuracy: 56.06% | Time: 221.04199123382568
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 92 - 1.3177 | Accuracy: 56.09% | Time: 221.2211949825287
100%|██████████| 2744/2744 [03:41<00:00, 12.40it/s] 
Epoch 93 - 1.3170 | Accuracy: 56.11% | Time: 221.34997367858887
100%|██████████| 2744/2744 [03:41<00:00, 12.41it/s] 
Epoch 94 - 1.3161 | Accuracy: 56.12% | Time: 221.1547975540161
100%|██████████| 2744/2744 [03:40<00:00, 12.42it/s] 
Epoch 95 - 1.3151 | Accuracy: 56.15% | Time: 220.93915033340454
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
Epoch 96 - 1.3148 | Accuracy: 56.15% | Time: 221.46981072425842
100%|██████████| 2744/2744 [03:41<00:00, 12.39it/s] 
